,invoice_date,product,region,retailer,sales_method,state,price_per_unit,total_sales,units_sold,year,month
0,2020-01-01,Men's Street Footwear,Northeast,Foot Locker,0,New York,50,6000,120,2020,1
1,2020-02-01,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,50,5000,100,2020,2
2,2020-03-01,Women's Street Footwear,Northeast,Foot Locker,0,New York,40,4000,100,2020,3
3,2020-04-01,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,45,3825,85,2020,4
4,2020-05-01,Men's Apparel,Northeast,Foot Locker,0,New York,60,5400,90,2020,5
5,2020-06-01,Women's Apparel,Northeast,Foot Locker,0,New York,50,5000,100,2020,6
6,2020-07-01,Men's Street Footwear,Northeast,Foot Locker,0,New York,50,6250,125,2020,7
7,2020-08-01,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4500,90,2020,8
8,2020-01-21,Women's Street Footwear,Northeast,Foot Locker,0,New York,40,3800,95,2020,1
9,2020-01-22,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,45,3713,83,2020,1
10,2020-01-23,Men's Apparel,Northeast,Foot Locker,0,New York,60,5400,90,2020,1
11,2020-01-24,Women's Apparel,Northeast,Foot Locker,0,New York,50,5000,100,2020,1
12,2020-01-25,Men's Street Footwear,Northeast,Foot Locker,0,New York,50,6100,122,2020,1
13,2020-01-26,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4625,93,2020,1
14,2020-01-27,Women's Street Footwear,Northeast,Foot Locker,0,New York,40,3800,95,2020,1
15,2020-01-28,Women's Athletic Footwear,Northeast,Foot Locker,0,New York,45,3600,80,2020,1
16,2020-01-29,Men's Apparel,Northeast,Foot Locker,0,New York,60,5100,85,2020,1
17,2020-01-30,Women's Apparel,Northeast,Foot Locker,0,New York,50,4750,95,2020,1
18,2020-01-31,Men's Street Footwear,Northeast,Foot Locker,0,New York,50,6000,120,2020,1
19,2020-01-02,Men's Athletic Footwear,Northeast,Foot Locker,0,New York,50,4500,90,2020,1
